nx,quadraturetype,quadratureorder,convolutionmagnitude,convolutionwidth,rotationmagnitude,testcaseid,absL1,relL1,absL2,relL2
70,3,5,18.0,2.5,0,2,7.7290195086586904,0.0185672545301502,4.7115900996327458,0.0159742372010717
70,3,5,10.0,2.5,0,2,7.9747764624737743,0.0191576310855369,4.7426246263301630,0.0160794570696096
70,3,5,2.0,7.0,0,2,19.5811740697059342,0.0470394262227061,8.6076948341056170,0.0291836420670722
70,3,5,10.0,12.0,0,2,85.4932429888902448,0.2053785478745904,41.9857495259134978,0.1423490388189766
70,3,5,2.0,1.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,1.5,14.0,0,2,20.6075019247017437,0.0495049511827275,9.1180189974920935,0.0309138518397792
70,3,5,0.5,1.5,0,2,8.4574429574939209,0.0203171302504924,4.8117887073690557,0.0163139518819651
70,3,5,20.0,16.0,0,2,118.3970219581825774,0.2844225764790252,74.8186179035402006,0.2536660287024255
70,3,5,4.0,8.0,0,2,41.1124277862057141,0.0987634861321979,17.0414148351810510,0.0577774375661974
70,3,5,1.5,5.0,0,2,10.3190132164670807,0.0247891397706380,5.0462767732458857,0.0171089633124860
70,3,5,0.0,4.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,9.0,16.0,0,2,87.8512770468931592,0.2110432015213634,46.6140022458572645,0.1580407278690597
70,3,5,18.0,14.0,0,2,110.4280934906112464,0.2652789939037454,65.5254780370549952,0.2221584447592590
70,3,5,20.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,14.0,4.5,0,2,59.9521724083387539,0.1440217926082386,22.8748526466976294,0.0775552020423835
70,3,5,18.0,16.0,0,2,111.9830109041938044,0.2690143379999800,70.7810925156662734,0.2399771493883539
70,3,5,20.0,6.0,0,2,94.1783130336709036,0.2262425016986130,48.2335716846716309,0.1635317374501444
70,3,5,3.0,10.0,0,2,34.4097661327139690,0.0826618286308241,14.6721193544646571,0.0497445469267207
70,3,5,1.5,3.5,0,2,7.3828107781802377,0.0177355648685893,4.4843891757025460,0.0152039321926954
70,3,5,1.5,4.5,0,2,8.4740449248058525,0.0203570127934769,4.5976401630370338,0.0155878998334877
70,3,5,1.5,2.5,0,2,8.3591792352667085,0.0200810734596371,4.7978691812830681,0.0162667589371795
70,3,5,16.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,12.0,8.0,0,2,84.7348912596828541,0.2035567761008487,40.5590922456479674,0.1375120811639858
70,3,5,16.0,2.5,0,2,7.7787763236057952,0.0186867842385042,4.7177273229897780,0.0159950449240672
70,3,5,5.0,5.0,0,2,31.5010967456202877,0.0756743957755024,12.8858043784649023,0.0436882010776472
70,3,5,4.0,20.0,0,2,70.1030168006983843,0.1684069440906155,29.7946540418042467,0.1010161879372211
70,3,5,9.0,3.5,0,2,15.0916832768868794,0.0362544206773516,6.0703601690507840,0.0205810291612408
70,3,5,1.5,7.0,0,2,15.0356282388350770,0.0361197608853768,6.6079652770226271,0.0224037326081980
70,3,5,3.0,2.0,0,2,8.4513595975634370,0.0203025163279760,4.8112587927907526,0.0163121552525913
70,3,5,16.0,18.0,0,2,111.9863733211220733,0.2690224154606299,70.9500332994168730,0.2405499284492441
70,3,5,1.5,2.0,0,2,8.4543787533238266,0.0203097691798295,4.8115234460871283,0.0163130525366171
70,3,5,18.0,10.0,0,2,100.4588398011290451,0.2413300737954589,56.5864753690544546,0.1918515322435068
70,3,5,9.0,9.0,0,2,72.8403702396512784,0.1749828283904393,34.7207509225636457,0.1177176917575225
70,3,5,1.0,2.0,0,2,8.4553952718873724,0.0203122111401432,4.8116116776661872,0.0163133516781261
70,3,5,12.0,6.0,0,2,73.8920188973764027,0.1775091809610853,33.9564732593567769,0.1151264746903801
70,3,5,1.5,3.0,0,2,7.9457345777946395,0.0190878644011252,4.7029520844525932,0.0159449507605036
70,3,5,18.0,6.0,0,2,87.8414294467224721,0.2110195448468427,44.9441316031483069,0.1523791764230164
70,3,5,3.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,2.0,3.5,0,2,7.2713519950633296,0.0174678098715377,4.4448450137439188,0.0150698611445594
70,3,5,18.0,18.0,0,2,118.8197261767881514,0.2854380295787393,75.4662614719372442,0.2558618079965813
70,3,5,4.0,2.5,0,2,8.2266898505967809,0.0197627971084189,4.7772868712166021,0.0161969764017308
70,3,5,3.0,14.0,0,2,41.4520128110637245,0.0995792638106088,17.5534016705579603,0.0595132844839449
70,3,5,12.0,2.5,0,2,7.9004878035175876,0.0189791690648372,4.7329998812527183,0.0160468252069866
70,3,5,12.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,16.0,6.0,0,2,86.3349579660970363,0.2074005813558269,41.5232249768650092,0.1407808894890094
70,3,5,5.0,16.0,0,2,70.6304813501189841,0.1696740606419131,30.3183720402330188,0.1027918083448673
70,3,5,0.5,3.0,0,2,8.2455534093097995,0.0198081126229647,4.7684148092615652,0.0161668964458909
70,3,5,7.0,4.5,0,2,33.4963259171241390,0.0804674911780681,13.1397528756032607,0.0445491914109234
70,3,5,16.0,5.0,0,2,72.7799229304139175,0.1748376171414554,32.5449325050389575,0.1103407683042897
70,3,5,18.0,2.0,0,2,8.4222217911399788,0.0202325192128557,4.8084520453435022,0.0163026392190362
