,L1,L2,cfl,convolutionmagnitude,convolutiontoscattering,convolutionwidth,dim1flag,nx,ny,periodicXflag,periodicYflag,quadratureorder,quadraturetype,rotationmagnitude,testcaseid,whichrank
17,19.5983273347183,8.193641175907988,0.95,9.0,0.0,3.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
18,6.206126585110703,3.961033092223735,0.95,18.0,0.0,4.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
19,30.108214732374094,13.322938113130391,0.95,0.0,0.0,14.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
20,6.23487182476708,3.901713568847881,0.95,5.0,0.0,10.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
21,7.0306069460739895,4.446644264247772,0.95,14.0,0.0,4.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
22,5.956833405372576,3.561244244770101,0.95,6.0,0.0,6.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
23,20.49734740491544,8.596243386045426,0.95,8.0,0.0,3.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
24,30.079909350965206,13.306972181237771,0.95,16.0,0.0,2.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
25,30.10113191439222,13.318941582096812,0.95,4.0,0.0,2.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
26,10.40542086635051,8.26409620978091,0.95,9.0,0.0,14.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
27,8.957685616523422,6.177843350569743,0.95,12.0,0.0,6.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
28,10.54332522614792,7.963077305466694,0.95,14.0,0.0,7.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
29,15.356581070761878,5.754294702358431,0.95,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0
30,27.48827300909298,18.746270645577102,0.95,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0
31,25.58744035956735,11.046320319756514,0.95,1.5,0.0,4.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
32,12.581385334013722,5.544828707060919,0.95,2.0,0.0,8.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
33,8.001064952321801,3.792994730181818,0.95,8.0,0.0,4.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
34,18.738247676677478,7.820852129253552,0.95,10.0,0.0,3.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
35,9.585148319602974,7.098924727467554,0.95,10.0,0.0,10.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
36,30.072843946339304,13.30298890351405,0.95,20.0,0.0,2.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
37,28.905986860540363,12.67156319520882,0.95,20.0,0.0,2.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
38,29.494832534039773,12.987372249432294,0.95,10.0,0.0,2.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
39,11.750337379126929,9.619098603981255,0.95,16.0,0.0,8.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
40,29.87973454558479,13.199439746153287,0.95,0.5,0.0,3.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
41,17.905446410892818,14.434071254466685,0.95,20.0,0.0,12.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
42,23.564047590929118,10.35103406495036,0.95,0.5,0.0,10.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
43,29.138627659521454,12.79563964507889,0.95,16.0,0.0,2.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
44,29.921462042237334,13.220102254009173,0.95,3.0,0.0,2.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
45,6.628218221344165,4.146340347147059,0.95,6.0,0.0,8.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
46,23.407977906303646,9.929389642742171,0.95,18.0,0.0,3.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
47,21.20703635415581,9.020488250248128,0.95,2.0,0.0,4.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
48,13.014565318241074,10.623543813938923,0.95,12.0,0.0,14.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
49,64.42170162448862,41.51904552249702,0.95,0.0,0.0,0.0,0.0,280.0,280.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0
50,6.590889603874356,4.220434264980399,0.95,20.0,0.0,4.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
51,22.445062252732082,9.502603076465236,0.95,6.0,0.0,3.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
52,7.012165017871989,4.5522053318419164,0.95,6.0,0.0,10.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
53,7.9190546302475955,5.2851924878669045,0.95,8.0,0.0,8.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
54,9.026845493762702,6.402770392595235,0.95,10.0,0.0,8.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
55,30.106443625582948,13.321938668211482,0.95,1.0,0.0,2.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
56,11.56604021319249,9.42965835248174,0.95,8.0,0.0,18.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
57,21.075846118848236,16.602213112787997,0.95,14.0,0.0,20.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
58,5.814483527732972,3.6094923089802298,0.95,4.0,0.0,12.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
59,6.276977456289231,4.054350567609166,0.95,3.0,0.0,18.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
60,8.964468159861818,6.543384566543306,0.95,8.0,0.0,12.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
61,26.35129679909556,11.388551990214818,0.95,9.0,0.0,3.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
